Application No.,First Choice Program
2026-00062,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-00083,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-00094,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-00243,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-00362,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-01273,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-01360,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-01409,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-01410,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-01472,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-01619,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-01667,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-01681,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-01833,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-01972,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-02036,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-02314,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-02353,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-02458,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-02461,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-02512,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-02587,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-02960,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-03054,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-03061,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-03261,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-03470,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-03733,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-03839,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-03861,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-03862,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-03879,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-03992,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-04253,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-04311,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-04333,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-04358,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-04440,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-04623,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-04723,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-04971,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-04999,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-05101,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-05195,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-05216,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-05341,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-05476,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-05586,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-05674,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-05768,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-05926,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-06032,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-06092,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-06190,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-06236,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-06273,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-06352,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-06397,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-06403,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-06457,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-06527,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-07309,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-07336,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-07340,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-07365,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-07455,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-07463,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-07489,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-07533,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-07565,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-07617,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-07652,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-07714,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-07742,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-08035,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-08165,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-08579,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-08986,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-08996,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-09096,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-09099,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-09233,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-09272,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-09347,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-09364,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-09366,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-09411,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-09583,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-09620,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-09814,BACHELOR OF SCIENCE IN ACCOUNTANCY
2026-00037,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-00260,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-00313,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-00341,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-00441,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-00536,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-00693,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-00714,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-00821,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-01169,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-01242,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-01284,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-01535,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-01594,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-01769,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-01901,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-02015,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-02104,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-02265,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-02396,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-02652,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-02721,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-02889,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-03291,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-03300,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-03454,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-03695,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-04141,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-04274,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-04344,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-04346,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-04379,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-04434,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-04770,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-04784,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-04949,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-05025,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-05173,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-05200,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-05364,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-05393,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-05560,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-05579,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-05580,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-05640,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-05656,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-05657,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-05658,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-05666,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-05751,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-05786,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-06003,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-06011,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-06171,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-06425,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-06946,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-07038,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-07530,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-07668,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-07791,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-07837,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-07851,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-08265,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-08318,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-08324,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-08816,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-08821,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-08954,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-09828,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-10012,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-10307,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-10347,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-10497,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-10747,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-10862,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN FINANCIAL MANAGEMENT
2026-00763,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-00988,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-01332,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-01507,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-01773,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-02158,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-02522,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-03049,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-03240,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-03544,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-03713,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-04475,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-04484,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-05871,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-06296,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-06622,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-06918,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-06941,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-08582,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-08818,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-08857,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-09085,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-09242,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-09344,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN HUMAN RESOURCE MANAGEMENT
2026-00163,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-00804,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-01064,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-01094,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-01205,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-01327,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-01373,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-01514,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-01882,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02079,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02083,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02135,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02172,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02210,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02304,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02319,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02342,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02474,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02898,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02935,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-02937,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-03122,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-03154,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-03192,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-03282,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-03589,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-04143,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-04299,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-04457,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-04645,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-05103,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-05144,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-05192,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-05245,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-05760,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-05886,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-06234,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-06258,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-06749,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-06790,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-06817,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-06831,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-07236,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-07539,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-07711,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-08517,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-08906,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-09093,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-09443,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-09874,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-09973,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-10183,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-10335,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-10885,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION MAJOR IN MARKETING MANAGEMENT
2026-00020,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00031,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00047,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00106,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00248,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00265,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00322,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00324,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00444,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00464,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00509,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00565,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00572,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00669,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00697,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00788,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00917,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-00956,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-01075,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-01103,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-01114,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-01133,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-01241,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-01569,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2026-01609,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
