Application No.,First Choice Program
2026-03343,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-03418,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-03446,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-03477,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-03518,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-03606,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-04013,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-04992,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-05409,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-05520,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-05735,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-05816,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-05936,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-06291,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-06410,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-06509,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-07926,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-08132,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-08280,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-08335,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-09086,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-09112,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-09477,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-09498,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-09528,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-10007,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-10016,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-10072,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-10078,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-10122,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-10620,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
2026-00699,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-01603,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-01679,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-02214,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-02576,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-02855,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-02965,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-03084,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-03207,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-03491,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-03725,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-04205,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-04279,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-04411,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-05194,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-05469,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-05611,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-05622,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-05963,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-06821,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-06859,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-06899,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-07626,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-08281,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-08300,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-08411,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-08557,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-09591,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-10362,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-10464,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-10511,BACHELOR OF CULTURE AND ARTS EDUCATION
2026-00198,BACHELOR OF ELEMENTARY EDUCATION
2026-00482,BACHELOR OF ELEMENTARY EDUCATION
2026-00490,BACHELOR OF ELEMENTARY EDUCATION
2026-00798,BACHELOR OF ELEMENTARY EDUCATION
2026-01065,BACHELOR OF ELEMENTARY EDUCATION
2026-01255,BACHELOR OF ELEMENTARY EDUCATION
2026-01819,BACHELOR OF ELEMENTARY EDUCATION
2026-01923,BACHELOR OF ELEMENTARY EDUCATION
2026-02045,BACHELOR OF ELEMENTARY EDUCATION
2026-02250,BACHELOR OF ELEMENTARY EDUCATION
2026-02970,BACHELOR OF ELEMENTARY EDUCATION
2026-03362,BACHELOR OF ELEMENTARY EDUCATION
2026-03415,BACHELOR OF ELEMENTARY EDUCATION
2026-03681,BACHELOR OF ELEMENTARY EDUCATION
2026-04023,BACHELOR OF ELEMENTARY EDUCATION
2026-04069,BACHELOR OF ELEMENTARY EDUCATION
2026-04304,BACHELOR OF ELEMENTARY EDUCATION
2026-04329,BACHELOR OF ELEMENTARY EDUCATION
2026-06052,BACHELOR OF ELEMENTARY EDUCATION
2026-07457,BACHELOR OF ELEMENTARY EDUCATION
2026-07540,BACHELOR OF ELEMENTARY EDUCATION
2026-08063,BACHELOR OF ELEMENTARY EDUCATION
2026-08501,BACHELOR OF ELEMENTARY EDUCATION
2026-08587,BACHELOR OF ELEMENTARY EDUCATION
2026-08762,BACHELOR OF ELEMENTARY EDUCATION
2026-09436,BACHELOR OF ELEMENTARY EDUCATION
2026-09804,BACHELOR OF ELEMENTARY EDUCATION
2026-09813,BACHELOR OF ELEMENTARY EDUCATION
2026-10276,BACHELOR OF ELEMENTARY EDUCATION
2026-10763,BACHELOR OF ELEMENTARY EDUCATION
2026-10778,BACHELOR OF ELEMENTARY EDUCATION
2026-10895,BACHELOR OF ELEMENTARY EDUCATION
2026-00712,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-02100,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-02298,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-03346,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-03378,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-03432,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-03634,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-03714,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-04489,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-08831,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-09540,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-10392,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-10485,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-10655,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-10771,BACHELOR OF SCIENCE IN EXECISE AND SPORTS SCIENCES
2026-00065,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-00077,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-00200,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-00246,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-00355,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-00446,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-00705,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-00758,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-00925,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-00945,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-01258,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-01277,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-01382,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-01426,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-01501,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-01515,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-01597,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-01799,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-01851,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-02033,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-02187,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-02191,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-02257,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-02272,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-02442,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-03050,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-03155,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-03222,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-03348,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-03382,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-03394,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-03429,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-03816,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-03965,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-04262,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-04293,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-04403,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-04482,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-04693,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-04771,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-04979,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-05251,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-05422,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-05484,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-05650,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-05661,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-05718,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-06191,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-06363,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-06390,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-06418,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-06536,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-06540,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-06559,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-06769,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-06823,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-06848,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-06921,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-06924,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-07015,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-07641,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-07941,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-08078,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-08246,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-08436,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-08638,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-08695,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-08836,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-08956,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-09136,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-09315,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-09334,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-09592,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-09902,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-10127,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-10368,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-10941,BACHELOR OF SECONDARY EDUCATION MAJOR IN ENGLISH
2026-00045,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-00117,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-00370,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-00575,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-00666,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-00692,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-01329,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-01633,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-01642,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-01652,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-02093,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-02288,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-03262,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-03586,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-03721,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-03895,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-04644,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-05024,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-05778,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-05868,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-07111,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-07683,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-08511,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-08662,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-09127,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-09390,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-09633,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-09758,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-10289,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-10645,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-10925,BACHELOR OF SECONDARY EDUCATION MAJOR IN FILIPINO
2026-00236,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-00535,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-01070,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-01783,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-01977,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-02061,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-02080,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-02451,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-03468,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-03552,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-03724,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-04085,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-04108,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-04132,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-04303,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-04446,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-04549,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-04881,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-05596,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-05648,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-05759,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-06123,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-06136,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-06462,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-06719,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-07692,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-08391,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-08498,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-08512,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-08553,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-09216,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-09275,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-10070,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-10351,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-10538,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-10546,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-10741,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-10745,BACHELOR OF SECONDARY EDUCATION MAJOR IN MATHEMATICS
2026-00171,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-00328,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-00395,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-00675,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-01246,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-01618,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-02060,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-02347,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-02917,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-03519,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-04045,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-04051,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-04174,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-04435,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-04444,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-04963,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-05249,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-05362,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-05927,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-06309,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-07460,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-07677,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-08207,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-08245,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-08382,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-08507,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-10500,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCES
2026-00018,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-00238,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-01684,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-02102,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-02331,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-03148,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-03421,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-03422,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-03941,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-04138,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-04145,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-04245,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-04247,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-04437,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-04461,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-04607,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-04947,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-05112,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-05480,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-05849,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-06905,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-06952,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-07296,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-07584,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-07843,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-08017,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-08399,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-10104,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-10795,BACHELOR OF SECONDARY EDUCATION MAJOR IN SOCIAL STUDIES
2026-01852,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION MAJOR IN HOME ECONOMICS
2026-02068,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION MAJOR IN HOME ECONOMICS
2026-02689,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION MAJOR IN HOME ECONOMICS
2026-03741,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION MAJOR IN HOME ECONOMICS
2026-04839,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION MAJOR IN HOME ECONOMICS
2026-04994,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION MAJOR IN HOME ECONOMICS
2026-06569,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION MAJOR IN HOME ECONOMICS
2026-08370,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION MAJOR IN HOME ECONOMICS
2026-09409,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION MAJOR IN HOME ECONOMICS
2026-03769,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION MAJOR IN INFORMATION AND COMMUNICATION TECHNOLOGY
2026-06775,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION MAJOR IN INFORMATION AND COMMUNICATION TECHNOLOGY
2026-09203,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION MAJOR IN INFORMATION AND COMMUNICATION TECHNOLOGY